SN,en,new,,,,,,,,,,,,,,,,,,,,,,,
38,"In modern times, old things should not be talked about",मोदर्न जमानाए पुलाउँ खँल्हाए मजिउ ।,,,,,,,,,,,,,,,,,,,,,,,
39,"Yes, but my family has its own problems","खे त ला ख्, तर जिमी मा अबुया थगुहे समश्या दु ।",,,,,,,,,,,,,,,,,,,,,,,
40,I want to discuss my son's marriage,काएया ब्यायु खँ ल्ह्यए मा-ल / मासे वो ।,,,,,,,,,,,,,,,,,,,,,,,
41,I am about to be an old man,आ जि बुरा जुईन ।,,,,,,,,,,,,,,,,,,,,,,,
42,You still have your youth left,छँगु ला अझए जोवन बाँकी दु ।,,,,,,,,,,,,,,,,,,,,,,,
43,Who told you that?,छँ सुईत धयौउ वो खँ ।,,,,,,,,,,,,,,,,,,,,,,,
44,I saw you yesterday,जिँ छँन्त म्हिग खँउ ।,,,,,,,,,,,,,,,,,,,,,,,
45,Just listen to me,थन छक जिगु खँ न्यँ ।,,,,,,,,,,,,,,,,,,,,,,,
46,Look at me once,थन छक जित स्वो ।,,,,,,,,,,,,,,,,,,,,,,,
47,"According to the U.S. Census Bureau, the parish has a total area of 632 square miles (1,640 km2), of which 610 square miles (1,600 km2) is land and 21 square miles (54 km2) (3.4%) is water.[5]",संयुक्त राज्य अमेरिकाया तथ्याङ्क विभाग कथं थ्व प्यारिशया कूल क्षेत्रफल ६३२ वर्ग माइल (१६४० वर्ग किमि) दु गुकिलि ६१० वर्ग माइल (१६०० वर्ग किमि) बं व २१ वर्ग माइल (५४ वर्ग किमि) (३.४%) लः दु। [5],,,,,,,,,,,,,,,,,,,,,,,
48,National protected areas,राष्ट्रिय संरक्षित क्षेत्र,,,,,,,,,,,,,,,,,,,,,,,
49,I will look over there once,जी छ्क अन-त-क स्वोया वे ।,,,,,,,,,,,,,,,,,,,,,,,
50,"I don't know if it happened in other places, the rice was not cut in our place",मेथाए जुसा मसिउ । जिमी थाए वा लौउ मरु ।,,,,,,,,,,,,,,,,,,,,,,,
51,It was not even a cigar or a cigarette,वो चिलिम न मजिल । तमाखु न मजिल ।,,,,,,,,,,,,,,,,,,,,,,,
52,All this happened because of you,थ्वो दक्को छिम्सँ याना जुउ ख ।,,,,,,,,,,,,,,,,,,,,,,,
53,Take the broken umbrella and repair it,त्वोर्हु कुसा भिंन्के यंन्की ।,,,,,,,,,,,,,,,,,,,,,,,
54,How old are you?,छ ग्वोर द-त ?,,,,,,,,,,,,,,,,,,,,,,,
55,Every time he keeps money under one pretense,न्ह्यब्लें छगु न छगु त्वो तया ध्यबा बाकी याई ।,,,,,,,,,,,,,,,,,,,,,,,
56,He sits quietly infront of his father and mother,माँ अबुया न्ह्यने लाटा थें सुंन्क चोव्नी ।,,,,,,,,,,,,,,,,,,,,,,,
57,Don't speak a word,छगु शब्द नवाई मखु ।,,,,,,,,,,,,,,,,,,,,,,,
58,Don't speak rubbish with me,छ जि नाप य य थे हालिउ मखु ।,,,,,,,,,,,,,,,,,,,,,,,
59,It was sunny today,ठौं नक्तिकी निभा त्वोल्,,,,,,,,,,,,,,,,,,,,,,,
60,Eyes hurt from using mobile phone too much.,योक्को मोबाईल स्वोया मिखा श्यात्,,,,,,,,,,,,,,,,,,,,,,,
61,"If you use a mobile phone too much, it hurts your eyes",योक्को मोबाईल स्वोत कि मिखा श्याई,,,,,,,,,,,,,,,,,,,,,,,
62,"Don't use mobile too much, it hurts your eyes",योक्को मोबाईल स्वे मते मिखा श्याई,,,,,,,,,,,,,,,,,,,,,,,
63,What kind of wet rice did you cook today?,ठौं गयौउ नाएक जा थुयौउ,,,,,,,,,,,,,,,,,,,,,,,
64,"Stop that thief, I am coming",वो खुँया-त चिना ति न्हि । जि वोया चोव्ना,,,,,,,,,,,,,,,,,,,,,,,
65,Do not wear clothes with holes,व्हो-गौंउ लँ फिमते,,,,,,,,,,,,,,,,,,,,,,,
66,Wear warm clothes,लुमुउ लँ फिना हुँ ।,,,,,,,,,,,,,,,,,,,,,,,
67,What kind of dark place is this?,गयौउ ख्युँ थाए ख थ्वो,,,,,,,,,,,,,,,,,,,,,,,
68,Don't talk about those girls.,वो मिस्तेउ खँ ल्हाएमते,,,,,,,,,,,,,,,,,,,,,,,
69,It's been 15 minutes and the light doesn't come on,१५ मिनेट ज्विइ धुंन्कल मते मवो का,,,,,,,,,,,,,,,,,,,,,,,
70,You always do this,न्ह्याब्लेँ छँ थथे याई,,,,,,,,,,,,,,,,,,,,,,,
71,It's delicious even when you're looking at it,स्वोएबले साई ख्वा वो,,,,,,,,,,,,,,,,,,,,,,,
72,"I love you more than words can write, my mother","चोया तगु शब्द सिबें अप्वो मतिना याना, छन्त जिमी माँ",,,,,,,,,,,,,,,,,,,,,,,
73,What a bad person you have been,छ ला गयम्ह हाराँम्ह मनु खनि,,,,,,,,,,,,,,,,,,,,,,,
74,Did you get a tough question in the exam today?,ठौ exam ले गयौउ थाकु न्ह्य-स वोगु,,,,,,,,,,,,,,,,,,,,,,,
75,He is my old and best friend,वो जिगु पुलाम्हँ अले मिलेजुम्ह पासा ख,,,,,,,,,,,,,,,,,,,,,,,
76,Now when will you come live?,आ छी गब्ले लाईभ वोया दिई ।,,,,,,,,,,,,,,,,,,,,,,,
77,I felt ashamed.,जित मछासे चोव्न ।,,,,,,,,,,,,,,,,,,,,,,,
78,I feel ashamed.,जित मछासे च्वोँ ।,,,,,,,,,,,,,,,,,,,,,,,
79,Today it rained heavily towards our house,ठौउ जिमौउ छेँ पाखे तस्कँ वा वोल,,,,,,,,,,,,,,,,,,,,,,,
80,It is raining heavily towards our house,जिमी छेँ पाखे तस्कँ व वोया चोङ्गु दु ।,,,,,,,,,,,,,,,,,,,,,,,
81,"don't talk nonsense to me like that, I don't like people who talk nonsense like that",छ जि लिसे थयौउ म्वा मरु खँ ल्हाए मते …. जित थयौउ म्वा मरु खँ ल्हाईम्ह मनु मय,,,,,,,,,,,,,,,,,,,,,,,
82,Did everyone eat?,दक्को सिउ ज्योना/बेली जुल ला ?,,,,,,,,,,,,,,,,,,,,,,,
83,Did it rain at your house last night?,म्हिग चाने छिकिपिनिगु छें पा-खे न वा वो-ला,,,,,,,,,,,,,,,,,,,,,,,
84,where are you,गन ख,,,,,,,,,,,,,,,,,,,,,,,
85,I am at my house,जि छें पा-खेए दु,,,,,,,,,,,,,,,,,,,,,,,
86,I stopped chatting with my favorite friends,जिं जिमी यपिं पासापिं नाप खँ ल्हाएउ त्वोता बिया ।,,,,,,,,,,,,,,,,,,,,,,,
87,We're about to leave,जिपिं वोने त्यनौ,,,,,,,,,,,,,,,,,,,,,,,
88,We're walking,जिपिं वोना चोव्नौ,,,,,,,,,,,,,,,,,,,,,,,
89,He stole my pen,वों जिगु कलम खुउ ख ला,,,,,,,,,,,,,,,,,,,,,,,
90,I need my pen now,जित जिगु कलम आ मा-ल,,,,,,,,,,,,,,,,,,,,,,,
91,Our nepal,झिगु नेपाल,,,,,,,,,,,,,,,,,,,,,,,
92,Our father,झिगु बा,,,,,,,,,,,,,,,,,,,,,,,
93,Your father,छिमौउ बा,,,,,,,,,,,,,,,,,,,,,,,
94,His father,उईउ बा,,,,,,,,,,,,,,,,,,,,,,,
95,their father,उमाउ बा,,,,,,,,,,,,,,,,,,,,,,,
96,Sit down,फेतु फेतु,,,,,,,,,,,,,,,,,,,,,,,
97,Wash your hands,ल्हा सिउ,,,,,,,,,,,,,,,,,,,,,,,
98,Wear your mask,मास्क ति,,,,,,,,,,,,,,,,,,,,,,,
99,I can't do that,जिँई अयौउ ज्या याएमखु ।,,,,,,,,,,,,,,,,,,,,,,,
100,I'm getting dressed,जि लँ फिना चोव्ना ।,,,,,,,,,,,,,,,,,,,,,,,
101,all of you,छिक्पिनसं,,,,,,,,,,,,,,,,,,,,,,,
102,My chest hurts since this morning,थऔ सुथनिसे नुगा श्याना चोङ्गु दु,,,,,,,,,,,,,,,,,,,,,,,
103,My chest hurts since yesterday,म्हिग निसे जिगु नुग स्याना चोङ्गु दु,,,,,,,,,,,,,,,,,,,,,,,
104,I eat rice,जि जा ने,,,,,,,,,,,,,,,,,,,,,,,
105,I am eating rice,जि जा नयाचोव्ना,,,,,,,,,,,,,,,,,,,,,,,
106,I was eating rice,जि जा नयाचोव्नागु,,,,,,,,,,,,,,,,,,,,,,,
107,I will eat rice,जि जा लिपा ने,,,,,,,,,,,,,,,,,,,,,,,
108,We were eating rice,जिपीं जा नया चोव्नागु,,,,,,,,,,,,,,,,,,,,,,,
109,We will eat rice,जिपीं जा ने,,,,,,,,,,,,,,,,,,,,,,,
110,Best Wishes,भिंन्तुना,,,,,,,,,,,,,,,,,,,,,,,
111,Yes,ख,,,,,,,,,,,,,,,,,,,,,,,
112,No,मखु,,,,,,,,,,,,,,,,,,,,,,,
113,Grandfather,बाज्या,,,,,,,,,,,,,,,,,,,,,,,
114,Grandmother,अजि,,,,,,,,,,,,,,,,,,,,,,,
115,Father,बा,,,,,,,,,,,,,,,,,,,,,,,
116,Mother,माँ,,,,,,,,,,,,,,,,,,,,,,,
117,Elder Brother,दाईचा,,,,,,,,,,,,,,,,,,,,,,,
118,Elder Sister,त-ता,,,,,,,,,,,,,,,,,,,,,,,
119,Younger Brother,किजा,,,,,,,,,,,,,,,,,,,,,,,
120,Younger Sister,कें,,,,,,,,,,,,,,,,,,,,,,,
121,Maternal Uncle,पाजु,,,,,,,,,,,,,,,,,,,,,,,
122,Maternal Aunt,मले,,,,,,,,,,,,,,,,,,,,,,,
123,Time,ई,,,,,,,,,,,,,,,,,,,,,,,
124,Tommorow,कने,,,,,,,,,,,,,,,,,,,,,,,
125,Yesterday,म्हिग,,,,,,,,,,,,,,,,,,,,,,,
126,Midnight,चाने,,,,,,,,,,,,,,,,,,,,,,,
127,Evening,ब-हनि,,,,,,,,,,,,,,,,,,,,,,,
128,Day after tommorow,कं-स,,,,,,,,,,,,,,,,,,,,,,,
129,Day before yesterday,म्हीईग,,,,,,,,,,,,,,,,,,,,,,,
130,Early,न्हापां,,,,,,,,,,,,,,,,,,,,,,,
131,Now,आ,,,,,,,,,,,,,,,,,,,,,,,
132,Immediately,थ-थें,,,,,,,,,,,,,,,,,,,,,,,
133,Last Year,थौने,,,,,,,,,,,,,,,,,,,,,,,
134,Later,लिपा,,,,,,,,,,,,,,,,,,,,,,,
135,Next Year,आइक्वं,,,,,,,,,,,,,,,,,,,,,,,
136,This Year,थुगुसि,,,,,,,,,,,,,,,,,,,,,,,
137,Sometimes,गब्लें गब्लें,,,,,,,,,,,,,,,,,,,,,,,
138,This,थ्व,,,,,,,,,,,,,,,,,,,,,,,
139,That,वा,,,,,,,,,,,,,,,,,,,,,,,
140,What,छू,,,,,,,,,,,,,,,,,,,,,,,
141,When,गब्लें,,,,,,,,,,,,,,,,,,,,,,,
142,Which,गू,,,,,,,,,,,,,,,,,,,,,,,
143,Who,सु,,,,,,,,,,,,,,,,,,,,,,,
144,Why,छाये,,,,,,,,,,,,,,,,,,,,,,,
145,Whose,सुया,,,,,,,,,,,,,,,,,,,,,,,
146,How,गथे,,,,,,,,,,,,,,,,,,,,,,,
147,How much,गुलि,,,,,,,,,,,,,,,,,,,,,,,
148,Left,देपा/देपाए,,,,,,,,,,,,,,,,,,,,,,,
149,Right,जवे,,,,,,,,,,,,,,,,,,,,,,,
150,Straight Ahead,तप्यंक,,,,,,,,,,,,,,,,,,,,,,,
151,"Among all the thorns of life, love is just like a beautiful flower.",जीवनया दक्व्वो क ले मतिना छगु बाला गु स्वा थे ख ।,,,,,,,,,,,,,,,,,,,,,,,
152,"In bad moments, just remember that I LOVE YOU.",बामलागु ईले ठुलि लुमन्की कि जि छन्त मतिना या ना ।,,,,,,,,,,,,,,,,,,,,,,,
153,My heart is like an empty bottle without you. Which may look good but of no use.,छ बिना जिगु नुग खाली सिसी थे ख । बाला खने डे फु तर ज्याले मजु ।,,,,,,,,,,,,,,,,,,,,,,,
154,Love does not need special time. It just happened.,मतिना यात ई ब्य म्वा । थ्वो अथे जुई ।,,,,,,,,,,,,,,,,,,,,,,,
155,You are my only dream.,छ जिगु छगुहेजक म्हगस ख ।,,,,,,,,,,,,,,,,,,,,,,,
156,I am sending my love sms to my wife just to see her smile.,"जि जिगु मतिना एसएमएस जिमी कला यात छोया चोना, वो न्हियुगु स्वोयता ।",,,,,,,,,,,,,,,,,,,,,,,
157,Love is the medicine for any kind of pain.,मतिना न्ह्यागु न श्यागु यात वास ख ।,,,,,,,,,,,,,,,,,,,,,,,
158,Hello,ज्वजलपा,,,,,,,,,,,,,,,,,,,,,,,
159,"Love is like fire, the fire that warms the heart.","मतिना मि थे ख, मि गुके नुग यात लुमुसे चोङकी ।",,,,,,,,,,,,,,,,,,,,,,,
160,I will never stop loving you.,जि छन्त मतिना याये गु गब्ले दिके मखु ।,,,,,,,,,,,,,,,,,,,,,,,
161,I just love hugging you.,जित छन्त घ्ये पुया ते य ।,,,,,,,,,,,,,,,,,,,,,,,
162,Hello baby doll.,हेल्लो हीशी दु म कतामरी ।,,,,,,,,,,,,,,,,,,,,,,,
163,My king.,जिगु जुजु ।,,,,,,,,,,,,,,,,,,,,,,,
164,What are you doing ?,छ छु याना चोनागु ?,,,,,,,,,,,,,,,,,,,,,,,
165,I won’t say.,जि धाय मखु ।,,,,,,,,,,,,,,,,,,,,,,,
166,Please tell me.,धा ले ।,,,,,,,,,,,,,,,,,,,,,,,
167,Kiss,चुप्पा,,,,,,,,,,,,,,,,,,,,,,,
168,Monkey,माक,,,,,,,,,,,,,,,,,,,,,,,
169,Are you a monkey?,छ माक ख ला?,,,,,,,,,,,,,,,,,,,,,,,
170,You look like a monkey,छ माक थेँ चोँव ।,,,,,,,,,,,,,,,,,,,,,,,
171,Monkey's Baby,माकया मचा,,,,,,,,,,,,,,,,,,,,,,,
172,Baby monkey.,माक मचा,,,,,,,,,,,,,,,,,,,,,,,
173,Oh monkey.,ऐ माक,,,,,,,,,,,,,,,,,,,,,,,
174,Oh monkey come here.,ऐ माक थन वा ।,,,,,,,,,,,,,,,,,,,,,,,
175,Shut up monkey.,हाले मते सुन्कँ चोँ माक ।,,,,,,,,,,,,,,,,,,,,,,,
176,I need to see the Doctor.,जि डाक्टर क्य वने माल ।,,,,,,,,,,,,,,,,,,,,,,,
177,When is the Doctor free?,डाक्टर या गब्ले लि लाई?,,,,,,,,,,,,,,,,,,,,,,,
178,I need to meet with the Doctor for my wife’s checkup.,जित जिमी कला क्यने त डाक्टर नापलाये मागु दु ।,,,,,,,,,,,,,,,,,,,,,,,
179,"I’m sorry, the Doctor is not taking new patients.","जित माफ याना दिश, डाक्टर न्हुपी मफुपी स्वई मखु त ।",,,,,,,,,,,,,,,,,,,,,,,
180,"Hello, how are you?","ज्वजलपा, छित गे च्वो ?",,,,,,,,,,,,,,,,,,,,,,,
181,Happy Tihar,सुन्ति नखया भिंन्तुना,,,,,,,,,,,,,,,,,,,,,,,
182,My husband,जिमि भा त,,,,,,,,,,,,,,,,,,,,,,,
183,Your husband.,छिमी भा त,,,,,,,,,,,,,,,,,,,,,,,
184,My dear husband,जिमि यम्ह भा त,,,,,,,,,,,,,,,,,,,,,,,
185,Where is your husband ?,छिमी भा त ग्वो?,,,,,,,,,,,,,,,,,,,,,,,
186,I like your husband.,छिमी भा त जित य।,,,,,,,,,,,,,,,,,,,,,,,
187,Your husband is handsome,छिमी भा त बाँला।,,,,,,,,,,,,,,,,,,,,,,,
188,Uphill,पा,,,,,,,,,,,,,,,,,,,,,,,
189,Sugarcane,तु,,,,,,,,,,,,,,,,,,,,,,,
190,surprise,अजू,,,,,,,,,,,,,,,,,,,,,,,
191,before,न्ह्य,,,,,,,,,,,,,,,,,,,,,,,
192,the dark,खिउँ,,,,,,,,,,,,,,,,,,,,,,,
193,now,थुथाय्,,,,,,,,,,,,,,,,,,,,,,,
194,unnecessary,म्वाँ,,,,,,,,,,,,,,,,,,,,,,,
195,Middle Aged,बाज्यःवं,,,,,,,,,,,,,,,,,,,,,,,
196,invisible,खनेमदु,,,,,,,,,,,,,,,,,,,,,,,
197,guest house,पाहांछेँ,,,,,,,,,,,,,,,,,,,,,,,
198,Guest,पाहां,,,,,,,,,,,,,,,,,,,,,,,
199,From now on,आब्वोनिसे,,,,,,,,,,,,,,,,,,,,,,,
200,now,आ,,,,,,,,,,,,,,,,,,,,,,,
201,insufficient,मगा,,,,,,,,,,,,,,,,,,,,,,,
202,Conscience,दुनुग,,,,,,,,,,,,,,,,,,,,,,,
203,Face,ख्वा,,,,,,,,,,,,,,,,,,,,,,,
204,Request,इनाप,,,,,,,,,,,,,,,,,,,,,,,
205,a little,भचा,,,,,,,,,,,,,,,,,,,,,,,
206,desire,मन्तुना,,,,,,,,,,,,,,,,,,,,,,,
207,"Map of Ouachita Parish, Louisiana With Municipal Labels","वाशिता प्यारिश, लुइजियानाया मानकिपाय् नगरक्षेत्र क्यनातःगु",,,,,,,,,,,,,,,,,,,,,,,
208,Census-designated places,तथ्याङ्क-घोषित थाय्,,,,,,,,,,,,,,,,,,,,,,,
209,"A well-known example of this is The Nutcracker, a two-act ballet originally choreographed by Marius Petipa and Lev Ivanov with a music score by Pyotr Ilyich Tchaikovsky. Ballets are choreographed and performed by trained ballet dancers. Traditional classical ballets are usually performed with classical music accompaniment and use elaborate costumes and staging, whereas modern ballets, such as the neoclassical works of American choreographer George Balanchine, often are performed in simple costumes (e.g., leotards and tights) and without the use of elaborate sets or scenery.","ब्यालेया कृति कोरियोग्राफी व संगीतया संगमं सिर्जित जुइ। दसुया रुपय् द नत्क्र्याकर , २-अंक दूगु ब्यालेयात कायेछिं, गुकिया मूलरुप कोरियोग्राफर मेरियस पेतिपा व लेभ इभानोभ खः धाःसा संगीतरचनामि Pyotrप्योतर इलियिच त्साइकोभ्स्कि ख। ब्यालेया नृत्यसंयोजन व प्रदर्शन प्रशिक्षित ब्याले हुलाप्याखँमितेसं याइ। परम्परागत शास्त्रीय ब्याले युरोपियन शास्त्रीय संगीत नाप झःझःखाःगु वसः-तिसा व दबुलिइ पिथनि धाःसा आधुनिक ब्याले, दसु: नवशास्रीय अमेरिकन कोरियोग्राफर जर्ज Balanchineजुया रचना आपालं सरल वसः-तिसा (दसु: लियोतार्द व ताइत्स) व वृहद दृष्य-पृष्ठभूमि मदयेकः पिथनिगु या।",,,,,,,,,,,,,,,,,,,,,,,
210,Another version of crayfish étouffée,क्रे न्या इतूफेया छगू रुप,,,,,,,,,,,,,,,,,,,,,,,
211,See also,स्वयादिसँ,,,,,,,,,,,,,,,,,,,,,,,
212,"Classical bell tutus in The Dance Class by Degas, 1874",एद्गार देगासजु या सन् १८७४स किपा द दान्स क्लासय् क्लासिक बेल तुतु,,,,,,,,,,,,,,,,,,,,,,,
213,"Examples of this are Russian ballet, French ballet, and Italian ballet. Later variations, such as contemporary ballet and neoclassical ballet, incorporate both classical ballet and non-traditional technique and movement. Perhaps the most widely known and performed ballet style is late Romantic ballet (or Ballet blanc), a classical style that focuses on female dancers (ballerinas) and features pointe work, flowing and precise movements, and often presents the female dancers in traditional, long white tutus.","ब्यालेय् इतालियन पूनर्जागरण काल निसें हे शैलीगत विविधताया उत्पत्ति व विकास जूगु खनेदु। प्रारम्भिक, शास्त्रीय भिन्नताया उत्पत्ति प्राथमिक रुपय् भौगोलिक कथं उत्पत्ति जुल। दसु: रसियन ब्याले, फ्रेञ्च ब्याले, व इतालियन ब्याले । लिपाया भिन्नता दसु समकालीन ब्याले व नवशास्त्रीय ब्याले धाःसा शास्त्रीय व नव-परम्परागत पद्धति व प्रवृत्तिया लिच्वःया रुपय् दयावल। सम्भवतः, दकलय् प्रचलित व प्रदर्शित ब्याले शैली उत्तरार्धिक रोमान्तिक ब्याले (वा ब्याले ब्लांक) ख। थ्व छकथंया शास्त्रीय शैली ख गुकिलि मिसा प्याखँहुलामि (ब्यालेरिना) व पोइन्ते ज्या दयाच्वनि। थुकिलि तरल व सुनिश्चित चाल दयाच्वनि, व प्याखँहुलामिं परम्परागत तुयु ताःहाकःगु तुतु वसलय् दयाच्वनि।",,,,,,,,,,,,,,,,,,,,,,,
214,No meat?,ला-मा-डु-ला?,,,,,,,,,,,,,,,,,,,,,,,
215,We will have fish tomorrow,क-नहे न्या द-ये-के-गु,,,,,,,,,,,,,,,,,,,,,,,
216,May I step inside?,डु-ने वा-ने जी ला?,,,,,,,,,,,,,,,,,,,,,,,
217,Youngest child,अइला,,,,,,,,,,,,,,,,,,,,,,,
218,In a hurry,अइल्मय,,,,,,,,,,,,,,,,,,,,,,,
219,He struck so severly that the child fainted,वम अचलय दल आले मच बन वन  ,,,,,,,,,,,,,,,,,,,,,,,
220,Evil spirit,अगति,,,,,,,,,,,,,,,,,,,,,,,
221,ordinary,अगति,,,,,,,,,,,,,,,,,,,,,,,
222,Secret,अगम,,,,,,,,,,,,,,,,,,,,,,,
223,Day labourer in brick kiln,अगः,,,,,,,,,,,,,,,,,,,,,,,
224,Properly,न्हाबुक,,,,,,,,,,,,,,,,,,,,,,,
225,property,सम्पति,,,,,,,,,,,,,,,,,,,,,,,
226,proportionate,दामासाइ,,,,,,,,,,,,,,,,,,,,,,,
227,gambler,जुयाह:,,,,,,,,,,,,,,,,,,,,,,,
228,He has become old now,वा नाम अह ल जेथला,,,,,,,,,,,,,,,,,,,,,,,
229,I was astonised at hearing that child's remark,वा मचयागु ख म नेनह जी ज्यः जुल,,,,,,,,,,,,,,,,,,,,,,,
230,I will pay you according to your achievement,चंगु ज्या स्वयः जिम धेबा बि ,,,,,,,,,,,,,,,,,,,,,,,
231,What is the result of your going?,छ वनागु ज्या छु जुल?,,,,,,,,,,,,,,,,,,,,,,,
232,He will use you only as a tool and dismiss you,चन्ता ज्याय छेले आले वम च्वाया बि,,,,,,,,,,,,,,,,,,,,,,,
233,I helped with his son's marriage,जिम वाय केय भ्वजय ज्याय च्वना बिया,,,,,,,,,,,,,,,,,,,,,,,
234,He has got to work as an employee,वाय  ज्याय च्वाने मह ,,,,,,,,,,,,,,,,,,,,,,,
235,He was useful,वा ज्याय वाला,,,,,,,,,,,,,,,,,,,,,,,
236,That dog is as dear as life to me,जितः वा खिच ज्यान थेम यह,,,,,,,,,,,,,,,,,,,,,,,
237,He did not listen the slighest bit,ज्यान वाने वम खाम मन्यः,,,,,,,,,,,,,,,,,,,,,,,
238,One hour was lost,छ घु ज्यपः बित,,,,,,,,,,,,,,,,,,,,,,,
239,Farmer,ज्यापु,,,,,,,,,,,,,,,,,,,,,,,
240,Cotton seed,ज्यापु,,,,,,,,,,,,,,,,,,,,,,,
241,Cotton seed oil,ज्यपुचिकं,,,,,,,,,,,,,,,,,,,,,,,
242,Female Farmer,ज्यापु-नी,,,,,,,,,,,,,,,,,,,,,,,
243,Men's words and actions should be in accordance,मनुतय धपू वा ज्यापु चु लाए मह,,,,,,,,,,,,,,,,,,,,,,,
244,To cultivate,ज्याये,,,,,,,,,,,,,,,,,,,,,,,
245,Today he earned more than tweleve rupees,थुम वाय ज्याला झिम्निर्कम मायाका केन,,,,,,,,,,,,,,,,,,,,,,,
